google/gsoc2012/andol/14001,Andol Li,Developing a gstreamer plugin for hand gesture recognition,GStreamer
google/gsoc2012/dywi/19001,Andre Erdmann,Automatically generated overlay of R packages,Gentoo Foundation
google/gsoc2012/handreak/5001,Andrea Nascetti,Opticks - Basic SAR Processing Tools: Geocoding and stereo measurement,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/ahenriksson/18001,Andreas Henriksson,BFS Partition Resizer,Haiku
google/gsoc2012/andreibarsan/10001,Andrei Bârsan,Extensions to the cseditor framework,Crystal Space
google/gsoc2012/ansimionescu/15001,Andrei Simionescu,"New tesselator + ""nice triangles""",Blender Foundation
google/gsoc2012/wolf2105/12001,Andrej,Provide an alternative to libstdc++ with libc++,Debian Project 
google/gsoc2012/whoeverest/34001,Andrej T.,Computer vision add-on for Orange,Orange – Data Mining Fruitful & Fun
google/gsoc2012/amejia/8001,Andres Mejia,XBMC Test Suite,XBMC Foundation
google/gsoc2012/king_of_defeat/13001,Andrew,Correlator in GDAL,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/fatbag/5001,Andrew D'Addesio,Opus Decoder,Libav
google/gsoc2012/andrewdavis/10001,Andrew Davis,Pinta Features/Enhancements,Mono Project
google/gsoc2012/ajshort/17001,Andrew Short,Module System Refactoring,SilverStripe
google/gsoc2012/pwyl/15001,Andrew Young,Emacs-Orgmode Git merge tool for Org Files,GNU Project
google/gsoc2012/invercity/18001,Andrey Ermolenko ,User Interface for the Scribus Project Manager,Scribus
google/gsoc2012/ababii/33001,Andrii Babii,"R code for Portfolio Performance Measurement and Benchmarking from Christoperson, Carino, and Ferson(2009)",R project for statistical computing
google/gsoc2012/prazuber/19001,Andrii Zui,Dynamic MathML,Mozilla
google/gsoc2012/ajrhunt/35001,Andrzej Hunt,Smartphone remote control for LibreOffice Impress,LibreOffice
google/gsoc2012/emeryth/10001,Andrzej Surowiec,CryptoStick feature enhancements,FOSSASIA
google/gsoc2012/aparicio/18001,André Aparício,libbash,Gentoo Foundation
google/gsoc2012/adufilie/11001,Andy,Asynchronous rendering to support large data sets in Weave,Portland State University
google/gsoc2012/anirudh_subramanian/26001,Anirudh Subramanian,AChecker manual evaluations,Inclusive Design Institute
google/gsoc2012/therattigan/24001,Anja,Improve Wesnoth's engine to allow better transitions between scenarios,Battle For Wesnoth
google/gsoc2012/ankitbhatnagar2012/14001,Ankit Bhatnagar,Google App Module for ATutor.,Inclusive Design Institute
google/gsoc2012/ankitdaf/35002,Ankit Daftery,Switch between multiple Bluetooth paired devices and Use Tecla to send mouse clicks and/or keystrokes to a desktop computer,Komodo OpenLab
google/gsoc2012/ankitgupta_/29001,Ankit Gupta,Video/audio capture repository plugin,Moodle
google/gsoc2012/drecodeam/18001,Ankur Anand,Integration of Flickr and Geolocation in Upload Wizard,Wikimedia Foundation
google/gsoc2012/ankurankan/8001,Ankur Ankan,openmeetings plugin for zimbra,Apache Software Foundation
google/gsoc2012/crazyphoton/18002,Anoop,Consolidate Image Processing,BRL-CAD
google/gsoc2012/ansgar/2001,Ansgar Burchardt,multi-archive support for dak,Debian Project 
google/gsoc2012/ansharyan015/13001,Anshu Kumar,Make all plugins dynamic,Drizzle
google/gsoc2012/ajp29/8001,Anthony Pesce,Develop Mason Game System,WorldForge
google/gsoc2012/antonbelka/15001,Anton Belka,ChapterSupport: Implement chapter support in more plugins,GStreamer
google/gsoc2012/antonkuijsten/15001,Anton Kuijsten,Fault injection tool,MINIX 3
google/gsoc2012/philippov/8001,Anton Philippov,Security policy verification via information flow analysis,The Java Pathfinder Team
google/gsoc2012/antweb/8001,Anton Weber,Bluetooth Replayer,BlueZ
google/gsoc2012/antoniusriha/15001,Antonius Riha,Tasque Revitalization,Mono Project
google/gsoc2012/crope/10001,Antti Palosaari,Linux Kernel digital television framework enhancements,The Linux Foundation
google/gsoc2012/avtuunainen/17001,Antti-Ville Tuunainen,Removing the global gc lock from common allocations in D.,Digital Mars
google/gsoc2012/aaaaaaaaaaa/40002,Anubhav Aggarwal,[Sahana Eden]Database Migration,Sahana Software Foundation
google/gsoc2012/anuja/27002,anuja verma,AChecker Interactive Interface,Inclusive Design Institute
google/gsoc2012/anuragmurty/22001,anurag murty,Voxelize Command,BRL-CAD
google/gsoc2012/anweshadutta/9001,Anwesha,"Extend PathVisio with a plugin to create , modify and visualize data on biological pathways from scripting languages",National Resource for Network Biology (NRNB)
google/gsoc2012/apurv_29/32001,Apurv,Configurable Clinical Summary,OpenMRS
google/gsoc2012/arinkverma/34001,arink verma,Apertium on your mobile,Apertium
google/gsoc2012/arjkap/24001,Arjun Kapur,Auto Tagging Articles using Semantic Analysis/ Topic Modelling,Drupal
google/gsoc2012/arjun1991/22001,Arjun Kumar,Automatic adjustment of graphical level and extra features for Graphics Settings menu.,WorldForge
google/gsoc2012/robodex123/11001,Arsalan Akhter,Integration of ROS with OpenCog,OpenCog Foundation
google/gsoc2012/artkhyzha/13001,Artem,Abstract Model Checking,The Java Pathfinder Team
google/gsoc2012/lomereiter/41001,Artem Tarasov,"Fast parallelized GFF3/GTF parser in C++, with Ruby FFI bindings",Open Bioinformatics Foundation
google/gsoc2012/arthp91/35002,Arth,Replace lex-bison based parser with handwritten parser in gcalctool,GNOME
google/gsoc2012/arthur_sr/33002,Arthur Ribeiro,QML Plasmoid for Plasma NetworkManagement,KDE
google/gsoc2012/atermenji/37001,Artur Termenji,Project: Tablet Integration,Catroid Project
google/gsoc2012/arturopl/14001,ArturoPL,Tooling - More and better tests ,LibreOffice
google/gsoc2012/arun_ub/19001,Arun,Webhelp,DocBook Project
google/gsoc2012/arunscaria91/52003,Arun Scaria,OpenID+OAuth module for ATutor,Inclusive Design Institute
google/gsoc2012/tecoholic/13001,Arunmozhi,Symbology Usability Improvments for QGIS,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/ashish_d/12001,Ashish Dubey,Realtime Collaboration on Visual Editor,Wikimedia Foundation
google/gsoc2012/ashleyd/3001,Ashley DeSimone ,USB to Serial Bridge Controller Driver,Tianocore
google/gsoc2012/ashwinikhare/4001,Ashwini Khare,"To develop a SOCR for Resampling, Randomization & Probabilistic sim.",Statistics Online Computational Resource
google/gsoc2012/ashfall/26001,Ashwini Oruganti,Twisted : Expanded Endpoints Support,Python Software Foundation
google/gsoc2012/ashwyn/18001,Ashwyn Sharma,CERT: Parsing SMS Messages,Sahana Software Foundation
google/gsoc2012/astiando/11001,astiando,Semi-automated system implementation for FWN,The Fedora Project
google/gsoc2012/zoumpis/15001,Athanasios-Ilias Rousinopoulos,Ambassador/Event plugin for openSUSE Connect,openSUSE
google/gsoc2012/atrisharma/18001,Atri Sharma,FDW(Foreign Data Wrapper) that wraps JDBC based on PL/Java,PostgreSQL Project
google/gsoc2012/velvet_ghost/11001,Atriya Sen,A novel error correction system for Bangla OCR output,Ankur India
google/gsoc2012/novaka/12001,Attila Novák,Train Classifiers,Open Source Computer Vision Library (OpenCV)
google/gsoc2012/atuljangra/31001,Atul Jangra,Improving Gmail Interoperability.,Mozilla
google/gsoc2012/atulpratapsingh/35002,Atul Pratap Singh,"Refactoring: Table search, Db search, Multi-table query ",phpMyAdmin
google/gsoc2012/auremarion/8001,Aurélien Marion,HTML/CSS Backend for K,Formal Systems Laboratory at UIUC
google/gsoc2012/avnee/13001,Avnee Nathani,Porting KDiamond (game) to Qt Quick,KDE
google/gsoc2012/akoshibe/8001,Ayaka Koshibe,Integration of Flowvisor functions into Floodlight ,OpenFlowHub
google/gsoc2012/babak/37003,Babak,New Control Devices,Liquid Galaxy Project
google/gsoc2012/bmouterd/12001,Baptiste Mouterde,improving the online package review interface for mentors.debian.net,Debian Project 
google/gsoc2012/bsaleil/24002,Baptiste Saleil,Integrate GTG to Gnome-Shell,GNOME
google/gsoc2012/brrt/19002,Bart Wiegmans,Mod_Parrot 2.0,Parrot Foundation
google/gsoc2012/gbtux/33002,Bei Guan,Optimize OVMF for Xen HVM domains,Tianocore
google/gsoc2012/ben_zen/17001,Ben Lewis,GNU Octave: Least-Squares Spectral Analysis,GNU Project
google/gsoc2012/heroxbd/27001,Benda XU,Daemons in Gentoo Prefix with OpenRC,Gentoo Foundation
google/gsoc2012/beno/3001,Benjamin Talić,Rosters and scheduling ,New Visions for Public Schools
google/gsoc2012/benjamin_van_ryseghem/25001,Benjamin Van Ryseghem,Nautilus,ESUG (European Smalltalk User Group)
google/gsoc2012/benniven/4001,Benjamin Venditti,Optical tracking for the PS Move API,Computational Science and Engineering at TU Wien
google/gsoc2012/eregon/19001,Benoit Daloze,A complete benchmark tool (and suite) for Ruby implementations and libraries,The JRuby Project
google/gsoc2012/bhadley/19001,Beth,"Activity Development for GCompris, especially Music Education",GNOME
google/gsoc2012/blg165/14001,bgibson,Graphical Explorer of CUDA programs,The Eclipse Foundation
google/gsoc2012/bhaavanmerchant/38001,bhaavan,CERT: Rostering,Sahana Software Foundation
google/gsoc2012/catchmrbharath/31001,Bharath M R,Implicit Plotting Module,SymPy
google/gsoc2012/bharathv/29002,bharath v,Column level statistics in Hive (Jira-1362) ,Apache Software Foundation
google/gsoc2012/bhargavgolla/12001,Bhargav Golla,Photo galleria: A hybrid mobile app developed using Phonegap,Apache Software Foundation
google/gsoc2012/bhargav57/32001,Bhargav Patel,GDAL/OGR: Rigorous support of Vertical Datums within OGRSpatialReference,Computational Science and Engineering at TU Wien
google/gsoc2012/gastly/18002,Bhaskar Kandiyal,Desktop Web Client For OpenIntent Applications,OpenIntents
google/gsoc2012/bhathiya/5001,Bhathiya,Integrate Apache Sling to Apache Airavata Registry,Apache Software Foundation
google/gsoc2012/biscadoi/9002,biscadoi,Add a calendar view in the GTK client,Python Software Foundation
google/gsoc2012/bithin/17001,Bithin A,Re-purpose the proposals module,e-cidadania
google/gsoc2012/bogdanpurcareata/3001,Bogdan Purcareata,Pluggable Acquire-System for APT,Debian Project 
google/gsoc2012/bogdanap/6001,Bogdana Popa,"""Latest changes"" feed in user Dashboard",Review Board
google/gsoc2012/bsabuncu/12001,Bora Sabuncu,Remote Control,Freeseer recording and streaming suite
google/gsoc2012/breton/22001,Boris Bobrov,"Branching, merging and syncing + parts of network API",MoinMoin Wiki
google/gsoc2012/lothiraldan/18002,Boris FELD,Pylint improvements,Python Software Foundation
google/gsoc2012/boriss/81002,Boris Sieklik,Implementation of most common mobility models with random failing integration. ,Google Open Source Programs Office
google/gsoc2012/boskishah/16001,Boski Shah,PIG: Move Grunt from Javacc to ANTRL,Apache Software Foundation
google/gsoc2012/demosdemon/12001,Brandon LeBlanc,iOS application for MusicBrainz,MetaBrainz Foundation Inc.
google/gsoc2012/blanu/31002,Brandon Wiley,Pluggable Transports in Python,Electronic Frontier Foundation/The Tor Project
google/gsoc2012/baishakhir/10001,bray,Semantic Porting Analysis based on JPF Regression DiSE and DSE,The Java Pathfinder Team
google/gsoc2012/uman/10001,Brennan Vincent,Implementing a Microsoft Publisher import filter for LibreOffice,LibreOffice
google/gsoc2012/btdavis/12001,Brent Davis,iv performance,OpenImageIO
google/gsoc2012/brian_gernhardt/27002,Brian Gernhardt,PACT Assembly,Parrot Foundation
google/gsoc2012/erione/19001,Brijesh Patel,Improve saving of charts to OpenDocument in Calligra,KDE
google/gsoc2012/bsrkaditya/28002,BSRK Aditya,Patch Index Optimization for Darcs,haskell.org
google/gsoc2012/bpt/31002,BT Templeton,Guile-Emacs,GNU Project
google/gsoc2012/buddhiprabha/15001,Buddhiprabha Erabadda,DocBook to Word XML roundtripping XSLs,DocBook Project
google/gsoc2012/cdrttn/12001,C. Davis,A Flexible Registry Editor for Samba,Samba
google/gsoc2012/caioc2/32001,Caio Lucas,Easy and Interactive  Plot,Scilab
google/gsoc2012/camelia/10001,camelia,Spatial Queries to MapReduce Translator,"Dept. of Biomedical Informatics, Emory University"
google/gsoc2012/polymeris/21002,Camilo Polymeris,Orfeo Toolbox backend for the Sextante framework in QGIS,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/cand/50002,cand,Enable Monkey to be used as a shared library,Monkey HTTP Daemon
google/gsoc2012/carlasouza/62002,Carla Souza,Refactor all Puppet's core types,Puppet Labs
google/gsoc2012/carloscardenas/51001,Carlos Mauro Cárdenas Fernández,Packaging for Mac,ASCEND
google/gsoc2012/csanchez/4001,Carlos Sánchez Periñán,adding GPS survey capabilities to gvSIG Mini and shapefile driver,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/carolbhansen/3001,CarolH,"Implementing route analysis of OSM data within uDig, using Neo4j-Spatial graph database",OSGeo - Open Source Geospatial Foundation
google/gsoc2012/skeletk13/49002,Casian Andrei,KWin Colour Correction,OpenICC
google/gsoc2012/daeeklen/20002,Casian Olga,ATutor Chat Redesign,Inclusive Design Institute
google/gsoc2012/mocancezar/17001,Cezar Mocan,Natural Earth Vector Map in Marble,KDE
google/gsoc2012/c_whitman/24001,Chad Whitman,Preparing Menu Block Module for Drupal 8 Core,Drupal
google/gsoc2012/chaitan3/25005,Chaitanya Talnikar,Boolean Network Simulation,biographer
google/gsoc2012/chanaka777/22001,Chanaka Indrajith,Refactoring: Displaying query results,phpMyAdmin
google/gsoc2012/cchoi/4001,Changhyun Choi,3D edge extraction from an organized point cloud,Point Cloud Library (PCL)
google/gsoc2012/charuhans/32001,chans,Mobile App Development,Open Source Computer Vision Library (OpenCV)
google/gsoc2012/chturne/30002,Charles Turner,kawa - Common Lisp support,GNU Project
google/gsoc2012/xiaq/18001,Cheer Xiao,Issue tracker,MoinMoin Wiki
google/gsoc2012/chelen/4001,Chelen,Improve usability and get rid of little bugs,Scribus
google/gsoc2012/chemhack/11002,chemhack,A javascript library of system biology formats ,biographer
google/gsoc2012/chengchen/18001,Cheng Chen,Merge SnipMatch into Eclipse Code Recommenders  ,The Eclipse Foundation
google/gsoc2012/czheng035/21001,Cheng Zheng,A Design and Implementation of Web Intent Agent on Android,OpenIntents
google/gsoc2012/chetan1/50002,Chetan,Project: Parliamentary Monitoring project,mySociety
google/gsoc2012/chetanhosmani/37001,Chetan Hosmani,Transport Plugins,Freenet Project Inc
google/gsoc2012/cvnguyen/4001,Chieu Nguyen,Automated test case generation for the K Framework,Formal Systems Laboratory at UIUC
google/gsoc2012/cdavis/49002,Chip,Virtual Tables and RTTI in the Microsoft Visual C++ ABI,The LLVM Compiler Infrastructure 
google/gsoc2012/cbaines/19002,Chris,Completion of the Gnome Sudoku Vala Port,GNOME
google/gsoc2012/crdueck/18001,Chris Dueck,Volume and Centroid Functions for Primitives,BRL-CAD
google/gsoc2012/clhodapp/7001,Chris Hodapp,Dynamic Scala,Scala Team
google/gsoc2012/chris_hokamp/20001,Chris Hokamp,Hadoop Indexing and Concept-Space Disambiguation Models for DBpedia Spotlight,DBpedia Spotlight
google/gsoc2012/chrisjr/7001,Chris Johnson-Roberson,Paper Machines,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/potthast/9001,Christian,Point Cloud Segmentation using Graphical Models,Point Cloud Library (PCL)
google/gsoc2012/cikey/5001,Christian Kulpa,Calendar: Improve Invitation Support,Mozilla
google/gsoc2012/christophevg/36002,Christophe Van Gysel,Sales Reports for Drupal Commerce,Drupal
google/gsoc2012/claasziemke/31001,Claas,Code a board support package for BeagleBoard and/or BeagleBone,RTEMS Project
google/gsoc2012/clarle/20001,Clarence Leung,Biological Games: Asymmetric Version of Dizeez,Crowdsourcing Biology
google/gsoc2012/snizzo/26001,Claudio Desideri,Website design and implementation for GamingFreedom/Gluon,KDE
google/gsoc2012/claudiuperta/3001,Claudiu Perta,Increase robustness of DONAR and add IPv6 support.,Measurement Lab
google/gsoc2012/csw/13001,Clayton Wheeler,Multiple Alignment Format parser for BioRuby,Open Bioinformatics Foundation
google/gsoc2012/cschreiner/5001,Clément Schreiner,Semantic Package Review Interface for mentors.debian.net ,Debian Project 
google/gsoc2012/coderwilliam/10001,CoderWilliam ,A Fully-Featured Neural Network Library Implementation Based On the Flood Library with Extension for Deep Learning,Orange – Data Mining Fruitful & Fun
google/gsoc2012/cosminstefanxp/42001,Cosmin Stefan,[ZAP Project] Redesign of site crawler with of sessions awareness,OWASP Foundation
google/gsoc2012/crististoica/16001,Cristi Stoica,Project S1: Make Python S.IM.PL,Interface Ecology Lab @ Texas A&M University
google/gsoc2012/cp/42002,Cristina Precup,Visualizing Constructive Solid Geometry (CSG),BRL-CAD
google/gsoc2012/cristina_sabre/26001,Cristina Turcan,CoApp Package Maker GUI,The Outercurve Foundation
google/gsoc2012/munk/30002,Cyril Oblikov,Asynchronous errors handling during file transfer,KDE
google/gsoc2012/czhmu2011/28002,CZ,Ontology-based Network Visualization and Analysis,National Resource for Network Biology (NRNB)
google/gsoc2012/catalinb/38002,Cătălin Badea,Conversation history support for Swift,XMPP Standards Foundation
google/gsoc2012/tedted/24001,Damien Desfontaines,Theorem Proving in Geogebra : implementation of the aera method in OpenGeoProver,International GeoGebra Institute
google/gsoc2012/plaintext/21001,Daniel Bali,MusicBrainz server log analysis,MetaBrainz Foundation Inc.
google/gsoc2012/bankstonde/15001,Daniel Bankston,Calc Performance Improvements,LibreOffice
google/gsoc2012/danieru_2012/7001,Daniel Dressler,libjtapi,The Linux Foundation
google/gsoc2012/wiseacre/20001,Daniel Korostil,Lightproof improvements,LibreOffice
google/gsoc2012/dannyxyz22/11001,Daniel Lélis Baggio,Active Appearance Models for OpenCV,Open Source Computer Vision Library (OpenCV)
google/gsoc2012/dasich/29002,Daniel Neuhäuser,Universal Pastebin,MoinMoin Wiki
